nohup: ignoring input
Traceback (most recent call last):
  File "/home7/huangjunhao/xujingzehua/USV-AUV-col/train_td3.py", line 12, in <module>
    from td3 import TD3
  File "/home7/huangjunhao/xujingzehua/USV-AUV-col/td3.py", line 3, in <module>
    import torch
ModuleNotFoundError: No module named 'torch'
nohup: ignoring input
EP:24 | TD Error [33.91229251381401, 19.048440869395193] | ALoss [204.1005145062457, 194.39928903493967] | ep_r -73 | L_data 0.65 | sum_rate 0.00 | idu 0.00 | ec 118.22 | N_D 8 | CS [0. 0.] | FX [116.   0.]
EP:25 | TD Error [33.14215552151858, 20.082235177199205] | ALoss [210.47369140868898, 195.73169204452773] | ep_r -65 | L_data 0.59 | sum_rate 2.37 | idu 10.00 | ec 116.89 | N_D 5 | CS [0. 0.] | FX [4. 0.]
EP:26 | TD Error [37.03633436075338, 20.64346851859536] | ALoss [215.32269229183902, 192.66942621587398] | ep_r -60 | L_data 0.65 | sum_rate 0.24 | idu 1.00 | ec 112.31 | N_D 8 | CS [0. 0.] | FX [720. 165.]
EP:27 | TD Error [30.21713280939794, 21.332286601776367] | ALoss [216.7448417366325, 184.8624257212514] | ep_r -68 | L_data 0.64 | sum_rate 0.95 | idu 4.00 | ec 124.90 | N_D 8 | CS [0. 0.] | FX [93.  8.]
EP:28 | TD Error [26.00878524970818, 22.06933663203404] | ALoss [218.54612300541257, 180.67996959705334] | ep_r -79 | L_data 0.61 | sum_rate 1.19 | idu 5.00 | ec 115.21 | N_D 6 | CS [0. 0.] | FX [33.  0.]
EP:29 | TD Error [26.094359206391143, 21.5257693699428] | ALoss [220.8761418025334, 169.36786266711803] | ep_r -57 | L_data 0.61 | sum_rate 2.37 | idu 10.00 | ec 113.14 | N_D 6 | CS [0. 0.] | FX [0. 0.]
EP:30 | TD Error [29.794094421051362, 20.22968977338427] | ALoss [221.5367799314943, 164.66834276563281] | ep_r -70 | L_data 0.59 | sum_rate 2.14 | idu 9.00 | ec 109.31 | N_D 5 | CS [20. 20.] | FX [0. 0.]
EP:31 | TD Error [32.6942844295597, 18.961507335171238] | ALoss [219.2618931971349, 162.3435523826759] | ep_r -58 | L_data 0.61 | sum_rate 1.42 | idu 6.00 | ec 110.16 | N_D 7 | CS [0. 0.] | FX [0. 0.]
EP:32 | TD Error [33.860644660629596, 18.12796677980985] | ALoss [216.19900421234038, 164.9410668981897] | ep_r -58 | L_data 0.62 | sum_rate 0.95 | idu 4.00 | ec 110.20 | N_D 7 | CS [5. 5.] | FX [357.   0.]
EP:33 | TD Error [36.00599222631007, 18.87395062670484] | ALoss [216.59779112489073, 162.32682551823177] | ep_r -61 | L_data 0.60 | sum_rate 2.14 | idu 9.00 | ec 110.47 | N_D 6 | CS [0. 0.] | FX [ 1. 11.]
EP:34 | TD Error [36.73325827786258, 18.832322898087327] | ALoss [218.81817364764143, 166.77867076161144] | ep_r -68 | L_data 0.55 | sum_rate 3.32 | idu 14.00 | ec 103.80 | N_D 4 | CS [4. 4.] | FX [0. 0.]
